LOG_AR_I_(1),LOG_AR_I_(2),LOG_AR_I_(3),LOG_AR_I_(4),LOG_mu_(I),LOG_loglik_I,LOG_logpost_I,LOG_MA_I,LOG_measerr_scale_I,LOG_sigma_I,LOG_VAR_I,LOG_L_UV,L_5100,L_3000,L_H_beta,MG_II,0II_5007,OIII_4959
0.167751107252885,0.419068226396824,0.548713312118098,-2.0021696005526,1.25067321641861,2.15174994107224,2.15174994107224,-38.5918791806784,0.054405197882393,-1.68412594404011,-2.19369910594335,45.4248816366311,45.32733,45.48131,43.32896,43.40307,42.46937,42.26057
0.008646951954879,0.399786215856374,0.094801561164205,-2.46675353979143,1.27586459306244,2.18121535204319,2.18121535204319,-32.2310090612545,0.064653822230833,-1.94536414159856,-1.80087084612918,43.6009728956867,44.51848,44.56355,42.77419,42.88364,42.14843,41.77629
-0.269279413296315,-0.942398149155516,-2.92300690846657,-5.46256283132308,1.30136946875323,1.96667973665719,1.96667973665719,-13.2696548555117,0.028198384898559,-4.33019211081468,-0.655404399142551,44.5670263661591,44.32612,44.48522,42.49316,42.96359,42.26489,41.71549
-0.46437353985793,-0.887598468668404,-2.00055829704626,-4.41045383649017,1.29359440827274,2.04463572348049,2.04463572348049,-21.4271177009911,0.067166571220595,-4.48063291956561,-2.05918708062019,45.5403294747909,44.69770,44.94271,42.94092,43.16836,42.23722,41.18078
-0.938718127614033,-0.938718127614033,-1.26182888551566,-3.30099541709033,1.28349283505433,2.05129740005444,2.05129740005444,28.0519906996721,0.059926445482423,-29.4049496213783,-1.92056959415032,43.7387805584844,44.30242,44.85158,42.53794,43.45705,41.93680,42.12107
-0.400791966756239,-0.930240886733605,-2.86674485998944,-5.45908673323536,1.30289832292043,1.91726188771985,1.91726188771985,-14.010944996553,0.111937320612219,-4.41085203660539,-0.733704528766259,45.1072099696479,44.83574,44.44037,42.97453,42.68371,42.56680,42.05108
-0.023626308895241,-0.009391391551775,-1.6831939804217,-4.00940215750026,1.30350193920602,1.95612086050646,1.95612086050646,-19.7234187317509,0.210523574171717,-3.88231832794293,-1.54909606646685,44.8095597146353,44.57033,45.03819,42.60063,43.23716,42.09058,41.75146
-0.178201695976829,-0.071901397045631,-1.33035599022082,-3.84214604112235,1.28511280371459,2.06187263272028,2.06187263272028,-52.0306984731018,0.106473302694176,-4.20369376074819,-1.68610333278375,43.9898945637188,44.30397,45.01922,43.24299,43.23716,42.77714,42.05108
0.215078964780068,0.545390481010314,0.632740273288568,-1.89149501612617,1.26405952298669,2.08160031219574,2.08160031219574,-36.7389427173266,0.046094759419092,-1.40812946720584,-1.8475647143416,44.5965970956265,44.43193,44.83776,42.59860,42.99633,41.67878,41.75146
0.058423479100458,1.08249021710619,0.440669808482933,-1.57294359793168,1.24954202633504,2.11015771167068,2.11015771167068,-2.25166124640133,0.026864142188994,-1.60866377472072,-2.41165477200177,44.7291647896928,44.75459,44.34770,42.46524,42.74858,42.64946,42.27146
