LOG_AR_R_(1),LOG_AR_R_(2),LOG_AR_R_(3),LOG_AR_R_(4),LOG_mu_R,LOG_loglik_R,LOG_logpost_R,LOG_MA_R,LOG_Measerr_scale_R,LOG_sigma_R,LOG_VAR_R,LOG_LUV,L_5100,L_3000,L_H_beta,MG_II,0II_5007,OIII_4959
-0.038245183171835,-0.106106111330427,-1.52538786823557,-4.08699297328571,1.2536046771794,2.18864548112598,2.18864548112598,-46.8789590183376,0.057756902488201,-3.61973356614271,-1.94706138211815,45.4248816366311,45.32733,45.48131,43.32896,43.40307,42.46937,42.26057
0.054214166265078,0.28104553005373,-0.027283816501157,-2.59901326669307,1.27904305625945,2.17670509429069,2.17670509429069,-74.5058636464753,0.022038110596603,-2.00275555485523,-1.64830240070396,43.6009728956867,44.51848,44.56355,42.77419,42.88364,42.14843,41.77629
-0.421167820644417,-1.36592668696081,-3.56428910560316,-6.22455095012645,1.29902332182839,2.0380977564567,2.0380977564567,-15.8043201915185,0.061944814969315,-5.01041053142577,-0.685287383192319,44.5670263661591,44.32612,44.48522,42.49316,42.96359,42.26489,41.71549
-0.380941916838746,-1.08347399707896,-3.00547505622675,-4.3334702983537,1.29863122535593,2.06832854557848,2.06832854557848,-22.7272804864677,0.084533484401138,-5.20113548518813,-1.86195925765468,45.5403294747909,44.69770,44.94271,42.94092,43.16836,42.23722,41.18078
-0.347604910130731,-0.378101841798538,-2.0497478887759,-5.58841712017626,1.28415624803028,2.12019844579491,2.12019844579491,-19.4489659910109,0.149238156580642,-3.83443414437545,-1.49414465918861,43.7387805584844,44.30242,44.85158,42.53794,43.45705,41.93680,42.12107
-0.381271365686464,-0.977780221344567,-2.97593058611529,-4.01458691769891,1.30226819981423,1.97518733072731,1.97518733072731,-24.2463561004822,0.064899176707276,-4.41085203660539,-0.596180982323196,45.1072099696479,44.83574,44.44037,42.97453,42.68371,42.56680,42.05108
0.025812177746992,-0.194376823294238,-1.78510575721814,-4.69686358407063,1.30709493326305,2.00945619671295,2.00945619671295,-2.89060621443361,0.003265311068218,-3.88231832794293,-1.32894461286067,44.8095597146353,44.57033,45.03819,42.60063,43.23716,42.09058,41.75146
-0.323640733616944,-0.934219545905701,-2.39989729388852,-2.25232826790932,1.28339195930978,2.12595027065254,2.12595027065254,-15.4782260647281,-0.026428191766552,-4.20369376074819,-1.65244320468326,43.9898945637188,44.30397,45.01922,43.24299,43.23716,42.77714,42.05108
-0.286238964780617,0.211951569972643,0.211951569972643,-2.42375621493498,1.27059588527764,2.08948170450792,2.08948170450792,-11.9635176311124,0.01235190448582,-1.73211504763748,-1.71013303521785,44.5965970956265,44.43193,44.83776,42.59860,42.99633,41.67878,41.75146
0.060042805204604,-0.003433930184109,-0.066445630428209,-2.25935245092293,1.25153799215457,2.09862157419185,2.13166985177699,-8.00837343792466,0.026864142188994,-2.11268600650987,-2.07009308614909,44.7291647896928,44.75459,44.34770,42.46524,42.74858,42.64946,42.27146
0.205964379145964,0.206954852716555,0.317331980029836,-5.82729629545221,1.29899706384622,2.0628649543171,2.0628649543171,-27.1992008415003,0.056166712856095,-1.61477217580026,-1.57239571503593,43.4487063199051,44.69916,44.65749,43.46676,42.96205,42.07596,41.86849
-0.62675398710649,-1.4797277748277,-3.50453942461551,-4.18302701104797,1.2980827769225,1.98283216095497,1.98283216095497,-35.7164930598867,0.137230537172827,-5.61202156954455,-1.75872323004606,45.3031960574205,44.88584,45.15750,42.78628,43.15557,42.64170,42.36900
-0.273670765726499,-0.318842679534076,-1.7867172989268,-3.67922126851393,1.29993508508775,2.10585931385276,2.10585931385276,-57.0134791344837,-0.008147131392212,-3.57811838752586,-1.46056694640664,45.9132839017604,44.43886,44.86974,43.07690,42.93223,42.35470,42.20851
-0.188425928595415,-0.294284490196904,-1.72689613296477,-2.49404330180935,1.29691318874619,2.04121398316931,2.04121398316931,-30.8738486057413,0.010561620931614,-3.33837854796188,-1.66698634104206,44.2201080880401,44.10607,45.20451,42.46310,43.45330,41.79072,41.59024
-0.220233426147555,0.55559215940925,0.097220826719874,-3.13166361001387,1.26788473507703,2.18386650453734,2.18386650453734,-13.821832764104,-0.013957145876207,-2.03410174646427,-1.9280338711804,44.862131379313,44.28278,44.41496,42.56917,42.80388,42.43821,42.14885
0.06036205170683,0.26250097553015,-0.563552048887619,-2.30196611327192,1.29347376087133,2.12234161363271,2.12234161363271,-48.0314692849881,0.123236796149664,-2.67543637044925,-1.97649345153311,45.0718820073061,45.03406,44.07756,42.51944,42.61017,41.49444,41.85274
0.249094384484913,0.568861586355064,0.120101938752069,-4.00415535039341,1.29702069155528,2.02086007873972,2.02086007873972,-19.4520638115548,0.08977024488877,-1.78427999342992,-1.64714910052318,44.2504200023089,44.28599,44.46839,42.79810,42.98336,41.62131,41.22986
-0.161632718054383,-0.017290496314377,-1.49384734306955,-5.22168769612476,1.27108995699586,2.22049150145932,2.22049150145932,-13.7557209789276,0.109699699588652,-3.53317676871799,-1.89179469990261,45.1958996524092,44.51935,44.94597,42.05927,43.26494,42.24820,42.19560
