LOG_AR_U_(1),LOG_AR_U_(2),LOG_AR_U_(3),LOG_AR_U_(4),LOG_mu(U),LOG_loglik_U,LOG_Logpost_U,log_MA_U,log_measerr_scale_U,LOG_SIGMA_U,LOG_var_U,LOG_L_UV,L_5100,L_3000,L_H_beta,MG_II,0II_5007,OIII_4959
-0.385330120581415,-0.61939603341533,-2.33632328666752,-4.93199368027624,1.2724859201628,2.02568352743741,2.02568352743741,-25.2396407994298,0.077679848185683,-4.18726988991555,-1.44477499159107,45.4248816366311,45.32733,45.48131,43.32896,43.40307,42.46937,42.26057
0.032025772397759,0.337587485025824,-0.691486892759612,-3.15967179827847,1.28578147081066,2.05732424552913,2.05732424552913,-32.8524142001439,0.068373763743378,-2.41491336866688,-1.31674563280884,43.6009728956867,44.51848,44.56355,42.77419,42.88364,42.14843,41.77629
-0.462315064131094,-1.25788400201366,-3.38593440525923,-5.98136559392734,1.30789077886894,1.82682439898923,1.82682439898923,-36.1316000457047,0.013685286296966,-4.72068868525803,-0.392569262041835,44.5670263661591,44.32612,44.48522,42.49316,42.96359,42.26489,41.71549
-0.536718032172734,-1.21865222478037,-3.04577962245146,-5.23959285137098,1.30577937912369,1.85535093555077,1.85535093555077,-36.1316000457047,-0.037403809908821,-4.83396700873267,-1.60020823404958,45.5403294747909,44.69770,44.94271,42.94092,43.16836,42.23722,41.18078
-0.495277780336105,-1.15034398662098,-3.07082299803197,-5.33714773418058,1.29294062130761,1.95860949517744,1.95860949517744,-23.6447712626904,-0.056844406342811,-4.70792896237739,-1.05060278825518,43.7387805584844,44.30242,44.85158,42.53794,43.45705,41.93680,42.12107
-0.29847571142374,-0.687774268937075,-2.15780753922328,-2.15780753922328,1.31299652247437,1.5811977779882,1.5811977779882,-9.60011673863774,-0.051140385173471,-3.54435650969153,-0.615053615315939,45.1072099696479,44.83574,44.44037,42.97453,42.68371,42.56680,42.05108
0.077715931054883,0.009919807297427,-1.31335164581385,-1.31335164581385,1.31737806137191,1.62204089843429,1.62204089843429,-27.6903225616709,-0.01847301502253,-3.07698977599867,-0.97234953592388,44.8095597146353,44.57033,45.03819,42.60063,43.23716,42.09058,41.75146
-0.117046755079874,-0.187194150922926,-1.22371364048067,-3.5054343253357,1.28983695263866,1.91743748728895,1.91743748728895,-27.0143398829726,0.024331338510209,-2.84530459481084,-1.2890917542863,43.9898945637188,44.30397,45.01922,43.24299,43.23716,42.77714,42.05108
0.094856343863525,0.102382500091172,-0.921332753422394,-0.921332753422394,1.28633374590727,1.93207773263182,1.93207773263182,-31.5534839139337,0.07491065050432,-2.7139501588286,-1.52743576112146,44.5965970956265,44.43193,44.83776,42.59860,42.99633,41.67878,41.75146
0.076937420626433,-0.195869285357552,-0.63338085343576,-3.00558602848383,1.25557865827284,2.05866093055873,2.05866093055873,-38.0976053785096,0.045895475142538,-2.66182111302258,-1.93035842173782,44.7291647896928,44.75459,44.34770,42.46524,42.74858,42.64946,42.27146
-0.243407493368224,-0.647707710072661,-2.63438818684304,-5.35423932282045,1.31040027154096,1.8415635765465,1.8415635765465,-57.5754702831998,0.057878811742692,-4.63312135859917,-1.48584029757216,43.4487063199051,44.69916,44.65749,43.46676,42.96205,42.07596,41.86849
